T (K),B (m/sec),system
284.35,1.84189E-05,NaCl (NF270)
288.9,2.12885E-05,NaCl (NF270)
295.1,2.36756E-05,NaCl (NF270)
301.25,2.62825E-05,NaCl (NF270
307.2,2.91221E-05,NaCl (NF270)
313.6,3.14946E-05,NaCl (NF270)
284.35,2.48844E-05,NaCl (NF270
288.9,3.01172E-05,NaCl (NF270)
295.1,3.50423E-05,NaCl (NF270)
301.25,4.11834E-05,NaCl (NF270
307.2,4.63967E-05,NaCl (NF270)
313.6,5.28672E-05,NaCl (NF270)
284.35,2.11378E-05,NaCl (NF270
288.9,2.54086E-05,NaCl (NF270)
295.1,2.95478E-05,NaCl (NF270)
301.25,3.44834E-05,NaCl (NF270
307.2,3.92526E-05,NaCl (NF270)
313.6,4.48988E-05,NaCl (NF270)
283.55,6.60474E-06,NaF (NF270)
288.55,7.91595E-06,NaF (NF270)
295.2,9.27292E-06,NaF (NF270)
302.05,1.08721E-05,NaF (NF270)
308,1.27004E-05,NaF (NF270)
314.05,1.56023E-05,NaF (NF270)
283.55,1.17985E-05,NaF (NF270)
288.55,1.42443E-05,NaF (NF270)
295.2,1.68021E-05,NaF (NF270)
302.05,1.9126E-05,NaF (NF270)
308,2.15987E-05,NaF (NF270)
314.05,2.50751E-05,NaF (NF270)
283.55,1.17164E-05,NaF (NF270)
288.55,1.42178E-05,NaF (NF270)
295.2,1.6809E-05,NaF (NF270)
302.05,1.97493E-05,NaF (NF270)
308,2.28317E-05,NaF (NF270)
314.05,2.6602E-05,NaF (NF270)
284.7,2.2667E-06,NaCl (RO)
290,2.82452E-06,NaCl (RO)
295.8,3.74469E-06,NaCl (RO)
301.7,4.37552E-06,NaCl (RO)
308.35,5.30097E-06,NaCl (RO)
313.45,6.07541E-06,NaCl (RO)
284.7,2.85108E-06,NaCl (RO)
290,3.33201E-06,NaCl (RO)
295.8,4.22309E-06,NaCl (RO)
301.7,4.97635E-06,NaCl (RO)
308.35,5.61811E-06,NaCl (RO)
313.45,5.69275E-06,NaCl (RO)
284.7,0.00000488,NaCl (RO)
290,0.00000598,NaCl (RO)
295.8,0.00000758,NaCl (RO)
301.7,0.00000875,NaCl (RO)
308.35,0.00000982,NaCl (RO)
313.45,0.0000101,NaCl (RO)
